,Buurten,Year,Age,Gender,value
523,Hoogeind,2014-01-01,>= 75 jaar,Vrouw,2.0
524,Blauwe Kei,2014-01-01,>= 75 jaar,Vrouw,134.0
525,Ypelaar,2014-01-01,>= 75 jaar,Vrouw,589.0
526,Overakker,2014-01-01,>= 75 jaar,Vrouw,444.0
527,Ginneken,2014-01-01,>= 75 jaar,Vrouw,226.0
528,Mastbos,2014-01-01,>= 75 jaar,Vrouw,13.0
529,Boeimeer,2014-01-01,>= 75 jaar,Vrouw,298.0
530,Ruitersbos,2014-01-01,>= 75 jaar,Vrouw,409.0
531,Haagpoort,2014-01-01,>= 75 jaar,Vrouw,41.0
532,Heuvel,2014-01-01,>= 75 jaar,Vrouw,244.0
533,Tuinzigt,2014-01-01,>= 75 jaar,Vrouw,157.0
534,Princenhage,2014-01-01,>= 75 jaar,Vrouw,424.0
535,Westerpark,2014-01-01,>= 75 jaar,Vrouw,138.0
536,Heilaar,2014-01-01,>= 75 jaar,Vrouw,10.0
537,Hazeldonk,2014-01-01,>= 75 jaar,Vrouw,3.0
538,Steenakker,2014-01-01,>= 75 jaar,Vrouw,9.0
539,Effen-Rith,2014-01-01,>= 75 jaar,Vrouw,28.0
540,Liesbos,2014-01-01,>= 75 jaar,Vrouw,61.0
541,Gageldonk,2014-01-01,>= 75 jaar,Vrouw,44.0
542,Kievitsloop,2014-01-01,>= 75 jaar,Vrouw,22.0
543,Kesteren,2014-01-01,>= 75 jaar,Vrouw,29.0
544,Muizenberg,2014-01-01,>= 75 jaar,Vrouw,39.0
545,Heksenwiel,2014-01-01,>= 75 jaar,Vrouw,244.0
546,Overkroeten,2014-01-01,>= 75 jaar,Vrouw,73.0
547,Kroeten,2014-01-01,>= 75 jaar,Vrouw,20.0
548,Emer,2014-01-01,>= 75 jaar,Vrouw,3.0
549,Hagebeemd,2014-01-01,>= 75 jaar,Vrouw,4.0
550,Bavel,2014-01-01,>= 75 jaar,Vrouw,198.0
551,Nieuw Wolfslaar,2014-01-01,>= 75 jaar,Vrouw,59.0
552,Buitengebied Bavel,2014-01-01,>= 75 jaar,Vrouw,17.0
553,Ulvenhout,2014-01-01,>= 75 jaar,Vrouw,349.0
554,Buitengebied Ulvenhout,2014-01-01,>= 75 jaar,Vrouw,5.0
555,Prinsenbeek,2014-01-01,>= 75 jaar,Vrouw,512.0
556,Buitengebied Prinsenbeek,2014-01-01,>= 75 jaar,Vrouw,27.0
557,Teteringen,2014-01-01,>= 75 jaar,Vrouw,419.0
558,Vuchtpolder,2014-01-01,>= 75 jaar,Vrouw,3.0
559,Buitengebied Teteringen,2014-01-01,>= 75 jaar,Vrouw,9.0
560,Valkenberg,2015-01-01,< 30 jaar,Man,426.0
561,Chassé,2015-01-01,< 30 jaar,Man,603.0
562,Fellenoord,2015-01-01,< 30 jaar,Man,344.0
563,Schorsmolen,2015-01-01,< 30 jaar,Man,657.0
